mshs;balance
25006;30140000
21018;24920000
25639;22540000
26621;22540000
20968;14060000
27246;13810000
20900;13540000
26257;13540000
20747;11840000
29340;11270000
27140;11270000
26190;11270000
21037;11270000
29156;11270000
20829;11270000
25563;11270000
27734;10398000
29104;10340000
28987;10150000
28988;10150000
27354;10150000
28974;10150000
23983;10150000
21495;10150000
30096;10150000
21494;10150000
27474;10150000
22388;10150000
29440;9680000
29465;9680000
29276;9680000
23503;9680000
27292;9680000
30015;9680000
28310;9392000
29290;8984000
29131;8984000
22323;7580000
30821;7460000
29762;7204000
26284;6770000
22325;6770000
25900;6770000
27346;6700000
28941;6640000
29000;5850000
21801;5850000
28516;5850000
28030;5850000
28881;5850000
21291;5850000
24950;5760000
25492;5760000
28994;5690000
30807;5480000
29756;5480000
30265;5480000
22881;5480000
29938;5480000
28944;5092000
24354;5020000
24014;5020000
24975;5020000
25475;5020000
24790;5020000
28085;4714000
25734;4590000
26079;4590000
25832;4590000
28251;4440000
27840;4440000
27950;4440000
24117;4404000
30289;4334000
29636;4290000
29777;4290000
29821;4290000
23432;4176000
29913;4133000
23009;4088000
22060;3758000
27629;3720000
28458;3408000
30457;3392000
25491;3392000
28274;3290000
21616;3246000
27325;3096000
28384;3086000
30695;2973000
29194;2790000
26756;2790000
26646;2790000
25801;2790000
25553;2790000
26396;2790000
29221;2540000
26645;2540000
30008;2380000
30341;2346000
29351;2346000
22147;2274000
27531;2190000
29214;2088000
23209;2000000
23248;2000000
22434;2000000
28252;1860000
27179;1860000
26469;1638000
28015;1516000
27680;1516000
26228;1430000
26113;1430000
27317;1430000
22907;1392000
23495;1390000
24552;1356000
23517;1280000
29098;1235000
27617;1032000
27639;910000
29461;885000
30528;885000
29949;885000
27865;885000
21434;880000
27753;790000
21305;774000
22549;770000
23165;770000
30884;770000
21544;758000
28202;710000
28203;710000
27545;710000
28056;710000
28100;710000
29089;696000
30194;696000
23977;664000
26141;664000
26898;664000
28715;664000
25728;664000
25643;664000
26218;664000
24664;616000
25167;600000
29106;600000
22662;470000
26137;430000
28526;400000
30119;370000
29205;345000
21237;290000
29731;270000
30095;270000
21057;250000
24436;120000
30619;120000
28033;108000
29981;80000
29894;0
30403;0
29692;0
29836;0
29939;0
29940;0
30039;0
30053;0
30595;0
29504;0
30027;0
30747;0
30414;0
29755;0
30320;0
29823;0
29593;0
29735;0
29856;0
29920;0
30032;0
30443;0
29919;0
30348;0
29563;0
30104;0
29783;0
29802;0
30302;0
30314;0
29687;0
30315;0
30598;0
29668;0
29779;0
30307;0
30622;0
30308;0
29831;0
30663;0
29581;0
29874;0
30102;0
30049;0
29748;0
29768;0
30316;0
29734;0
29757;0
29292;0
29800;0
30297;0
30162;0
30419;0
29556;0
30312;0
29910;0
30383;0
29551;0
29720;0
29791;0
29815;0
29935;0
30323;0
29787;0
29585;0
29854;0
29904;0
29903;0
29553;0
29725;0
29812;0
30303;0
29701;0
29773;0
30624;0
29684;0
29810;0
29323;0
30698;0
29699;0
30647;0
29780;0
29772;0
30611;0
30038;0
29274;0
30139;0
29525;0
30415;0
29843;0
29907;0
30019;0
30227;0
30347;0
29898;0
30745;0
29166;0
29263;0
29685;0
30318;0
29235;0
29696;0
29766;0
29862;0
30300;0
29279;0
29671;0
30374;0
30596;0
29661;0
29915;0
29702;0
29806;0
30301;0
30618;0
29559;0
29592;0
30304;0
29883;0
29774;0
30046;0
30310;0
29542;0
29682;0
30084;0
30218;0
29763;0
30397;0
30317;0
29635;0
29809;0
29895;0
29555;0
29761;0
29552;0
29672;0
29695;0
30338;0
30418;0
29795;0
30141;0
30114;0
29517;0
30082;0
30606;0
30305;0
29579;0
29724;0
29758;0
29799;0
29503;0
29909;0
30103;0
29833;0
29864;0
30605;0
30340;0
29509;0
29825;0
30057;0
29341;0
30298;0
29647;0
29280;0
29727;0
30064;0
30245;0
30050;0
30228;0
29498;0
29741;0
29703;0
29930;0
29639;0
29928;0
30151;0
30074;0
30058;0
29924;0
29828;0
29943;0
30101;0
30412;0
29330;0
29908;0
29648;0
30295;0
29760;0
29912;0
30918;0
30322;0
29861;0
29921;0
30339;0
29717;0
29732;0
29830;0
29564;0
29936;0
30142;0
30410;0
29521;0
30634;0
29784;0
29545;0
30594;0
29669;0
29941;0
30411;0
30056;0
30321;0
29142;0
29548;0
30558;0
30666;0
29789;0
29876;0
29952;0
30462;0
30526;0
29932;0
30597;0
30094;0
29827;0
30905;0
29838;0
27453;0
27745;0
27785;0
27805;0
27842;0
28145;0
27991;0
27958;0
28069;0
28244;0
27496;0
28152;0
28718;0
27600;0
28034;0
28807;0
27812;0
28809;0
29115;0
28000;0
28447;0
28761;0
28204;0
28029;0
27762;0
27929;0
28752;0
28407;0
29113;0
27957;0
28294;0
28185;0
27815;0
27895;0
27607;0
27609;0
28128;0
28196;0
28103;0
27685;0
27982;0
27584;0
27455;0
28226;0
27339;0
27822;0
28358;0
27429;0
27781;0
27498;0
27359;0
27460;0
27334;0
27381;0
28259;0
28325;0
28640;0
27933;0
27631;0
27823;0
27490;0
27879;0
27599;0
27367;0
27562;0
27906;0
28190;0
28276;0
28362;0
27885;0
28036;0
27525;0
27661;0
27956;0
28031;0
28376;0
28183;0
27602;0
28133;0
28305;0
27505;0
27730;0
27889;0
27572;0
28001;0
